"","x"
"1","NFKBIA"
"2","IL1B"
"3","IL1A"
"4","SGPP2"
"5","GPR84"
"6","LAMB3"
"7","CD48"
"8","G0S2"
"9","C15orf48"
"10","VILL"
"11","MFSD2A"
"12","CXCL3"
"13","NFKBIZ"
"14","IL6"
"15","COL13A1"
"16","TNFRSF9"
"17","MMP14"
"18","QRICH2"
"19","TNFAIP6"
"20","AL663070.1"
"21","WFDC5"
"22","PNPLA1"
"23","SFMBT2"
"24","TRAF1"
"25","IKBKE"
"26","SLC11A2"
"27","SH3BP5"
"28","LINC01215"
"29","PHLDA1"
"30","ZC3H12A"
"31","EPOP"
"32","MPP7"
"33","NDUFV2"
"34","RHOV"
"35","IFIT2"
"36","CCM2L"
"37","MIR3945HG"
"38","LACC1"
"39","SAMD14"
"40","CXCL2"
"41","SH2D3A"
"42","MVD"
"43","TNF"
"44","DLL1"
"45","SLAMF7"
"46","SEMA6A"
"47","HMGN2P46"
"48","RHOU"
"49","AC079753.1"
"50","PI3"
